Sugar_Hz,Baseline_MN9,Bitter_Min,Bitter_Inhibition%,Ir94e_Min,Ir94e_Inhibition%
0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
40,5.5,0.0,100.0,0.0,100.0
60,50.1,0.0,100.0,0.5,99.00199600798403
80,79.2,0.0,100.0,7.3,90.78282828282829
100,87.1,1.0,98.85189437428244,19.8,77.26750861079219
120,94.1,6.5,93.09245483528161,49.2,47.71519659936237
140,102.3,13.6,86.70576735092864,59.7,41.64222873900293
160,103.5,24.2,76.61835748792271,78.2,24.444444444444443
180,106.9,43.2,59.588400374181475,84.3,21.14125350795136
200,110.1,51.1,53.58764759309718,84.9,22.888283378746593
