,0,20,40,60,80,100,120,140,160,180,200
0,0.0,0.0,5.5,50.1,79.2,87.1,94.1,102.3,103.5,106.9,110.1
20,0.0,0.0,2.6,38.8,70.3,86.3,91.2,101.4,100.0,106.1,107.1
40,0.0,0.0,0.2,18.4,57.4,80.0,86.7,95.0,98.9,101.5,103.1
60,0.0,0.0,0.1,6.7,42.6,68.4,80.8,91.0,92.6,99.2,102.4
80,0.0,0.0,0.0,2.6,22.3,53.7,67.3,82.5,90.0,94.9,95.6
100,0.0,0.0,0.0,1.0,12.8,40.7,60.0,76.4,85.4,90.3,95.6
120,0.0,0.0,0.0,0.3,3.1,19.3,48.0,61.4,74.9,84.8,90.4
140,0.0,0.0,0.0,0.0,0.9,7.6,31.5,46.3,64.0,77.9,83.2
160,0.0,0.0,0.0,0.0,1.1,4.1,17.5,37.0,50.5,63.4,76.3
180,0.0,0.0,0.0,0.0,0.1,2.5,8.0,21.9,43.4,51.9,63.0
200,0.0,0.0,0.0,0.0,0.0,1.0,6.5,13.6,24.2,43.2,51.1
