,0,20,40,60,80,100,120,140,160,180,200
0,0.0,0.0,5.2,46.8,78.2,87.3,96.6,100.7,104.8,109.7,110.6
20,0.0,0.0,1.1,25.7,68.9,83.4,94.5,101.2,104.3,108.6,107.3
40,0.0,0.0,0.0,9.2,49.9,77.9,88.3,92.4,101.0,102.3,105.3
60,0.0,0.0,0.0,1.7,23.4,60.0,81.5,91.5,97.0,98.7,102.6
80,0.0,0.0,0.0,1.5,13.2,56.9,76.4,89.3,94.1,101.3,102.6
100,0.0,0.0,0.0,1.1,11.5,43.0,71.9,82.4,90.5,96.6,98.1
120,0.0,0.0,0.0,1.1,9.6,35.8,63.6,79.8,89.6,90.9,99.3
140,0.0,0.0,0.0,0.5,9.1,28.9,61.6,77.3,84.8,93.0,95.4
160,0.0,0.0,0.0,1.1,8.3,29.3,53.2,70.6,84.4,89.5,91.3
180,0.0,0.0,0.0,0.8,7.3,21.3,51.5,68.0,83.7,88.1,87.2
200,0.0,0.0,0.2,1.4,9.0,19.8,49.2,59.7,78.2,84.3,84.9
